     #data, run, bin, learner,            goal,  a, b, c, d,   acc,    pd,   pf,  prec,   bal
 iris.arff,   3,   6,      nb,     Iris-setosa,  8, 0, 0, 7, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   3,   6,     j48, Iris-versicolor, 11, 0, 2, 2,  86.7, 100.0, 15.4,  50.0,  89.1
 iris.arff,   3,   6,     j48,     Iris-setosa,  8, 0, 0, 7, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   3,   5,      nb,  Iris-virginica, 10, 0, 0, 5, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   3,   5,      nb, Iris-versicolor,  8, 0, 0, 7, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   3,   5,      nb,     Iris-setosa, 12, 0, 0, 3, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   3,   5,     j48,  Iris-virginica, 10, 0, 0, 5, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   3,   5,     j48, Iris-versicolor,  8, 0, 0, 7, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   3,   5,     j48,     Iris-setosa, 12, 0, 0, 3, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   3,   4,      nb,  Iris-virginica, 11, 0, 0, 4, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   3,   4,      nb, Iris-versicolor,  8, 0, 0, 7, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   3,   4,      nb,     Iris-setosa, 11, 0, 0, 4, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   3,   4,     j48,  Iris-virginica, 11, 0, 0, 4, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   3,   4,     j48, Iris-versicolor,  8, 0, 0, 7, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   3,   4,     j48,     Iris-setosa, 11, 0, 0, 4, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   3,   3,      nb,  Iris-virginica, 11, 0, 0, 4, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   3,   3,      nb, Iris-versicolor,  8, 0, 0, 7, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   3,   3,      nb,     Iris-setosa, 11, 0, 0, 4, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   3,   3,     j48,  Iris-virginica, 11, 0, 0, 4, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   3,   3,     j48, Iris-versicolor,  8, 0, 0, 7, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   3,   3,     j48,     Iris-setosa, 11, 0, 0, 4, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   3,   2,      nb,  Iris-virginica, 11, 0, 0, 4, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   3,   2,      nb, Iris-versicolor,  6, 0, 0, 9, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   3,   2,      nb,     Iris-setosa, 13, 0, 0, 2, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   3,   2,     j48, Iris-versicolor,  5, 0, 1, 9,  93.3, 100.0, 16.7,  90.0,  88.2
 iris.arff,   3,   2,     j48,     Iris-setosa, 13, 0, 0, 2, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   3,  10,      nb,  Iris-virginica,  9, 0, 0, 6, 100.0, 100.0,  0.0, 100.0, 100.0
