 (INFOGAIN-NB INFOGAIN 10 KNN TRUE,331,14,56,16,.53,.14,.22,.23,.65)
 (INFOGAIN-NB INFOGAIN 10 KNN FALSE,16,56,14,331,.86,.47,.96,.60,.65)
 (BSQUARE-NB BSQUARE 10 KNN TRUE,347,19,44,7,.27,.11,.14,.16,.48)
 (BSQUARE-NB BSQUARE 10 KNN FALSE,7,44,19,347,.89,.73,.95,.80,.48)
 (INFOGAIN-PRISM INFOGAIN 10 KNN TRUE,384,13,3,17,.57,.01,.85,.02,.69)
 (INFOGAIN-PRISM INFOGAIN 10 KNN FALSE,17,9,13,378,.98,.43,.97,.60,.69)
 (BSQUARE-PRISM BSQUARE 10 KNN TRUE,388,20,2,7,.26,.01,.78,.01,.48)
 (BSQUARE-PRISM BSQUARE 10 KNN FALSE,9,15,18,375,.96,.67,.95,.79,.53)
 (INFOGAIN-NB INFOGAIN 12 KNN TRUE,379,22,9,7,.24,.02,.44,.04,.46)
 (INFOGAIN-NB INFOGAIN 12 KNN FALSE,7,9,22,379,.98,.76,.95,.85,.46)
 (BSQUARE-NB BSQUARE 12 KNN TRUE,348,23,33,13,.36,.09,.28,.14,.54)
 (BSQUARE-NB BSQUARE 12 KNN FALSE,13,33,23,348,.91,.64,.94,.75,.54)
 (INFOGAIN-PRISM INFOGAIN 12 KNN TRUE,389,16,3,9,.36,.01,.75,.01,.55)
 (INFOGAIN-PRISM INFOGAIN 12 KNN FALSE,10,5,15,387,.99,.60,.96,.75,.58)
 (BSQUARE-PRISM BSQUARE 12 KNN FALSE,14,12,15,376,.97,.52,.96,.67,.63)
 (BSQUARE-PRISM BSQUARE 12 KNN TRUE,381,15,7,14,.48,.02,.67,.03,.63)
 (INFOGAIN-NB INFOGAIN 2 KNN TRUE,377,26,0,14,.35,.00,1.00,.00,.54)
 (INFOGAIN-NB INFOGAIN 2 KNN FALSE,14,0,26,377,1.00,.65,.94,.79,.54)
 (BSQUARE-NB BSQUARE 2 KNN TRUE,383,18,8,8,.31,.02,.50,.04,.51)
 (BSQUARE-NB BSQUARE 2 KNN FALSE,8,8,18,383,.98,.69,.96,.81,.51)
 (INFOGAIN-PRISM INFOGAIN 2 KNN TRUE,397,17,0,3,.15,.00,1.00,.00,.40)
 (INFOGAIN-PRISM INFOGAIN 2 KNN FALSE,3,2,17,395,.99,.85,.96,.92,.40)
 (BSQUARE-PRISM BSQUARE 2 KNN TRUE,392,18,0,7,.28,.00,1.00,.00,.49)
 (BSQUARE-PRISM BSQUARE 2 KNN FALSE,7,1,18,391,1.00,.72,.96,.84,.49)
 (INFOGAIN-NB INFOGAIN 4 KNN TRUE,374,21,12,10,.32,.03,.45,.06,.52)
 (INFOGAIN-NB INFOGAIN 4 KNN FALSE,10,12,21,374,.97,.68,.95,.80,.52)
 (BSQUARE-NB BSQUARE 4 KNN TRUE,380,15,17,5,.25,.04,.23,.07,.47)
 (BSQUARE-NB BSQUARE 4 KNN FALSE,5,17,15,380,.96,.75,.96,.84,.47)
