 (INFOGAIN-PRISM INFOGAIN 2 KNN FALSE,8,4,6,69,.95,.43,.92,.59,.69)
 (BSQUARE-PRISM BSQUARE 2 KNN TRUE,70,7,0,10,.59,.00,1.00,.00,.71)
 (BSQUARE-PRISM BSQUARE 2 KNN FALSE,10,4,7,66,.94,.41,.90,.57,.71)
 (INFOGAIN-NB INFOGAIN 4 KNN TRUE,65,7,6,9,.56,.08,.60,.15,.68)
 (INFOGAIN-NB INFOGAIN 4 KNN FALSE,9,6,7,65,.92,.44,.90,.59,.68)
 (BSQUARE-NB BSQUARE 4 KNN TRUE,72,5,3,7,.58,.04,.70,.07,.70)
 (BSQUARE-NB BSQUARE 4 KNN FALSE,7,3,5,72,.96,.42,.94,.58,.70)
 (INFOGAIN-PRISM INFOGAIN 4 KNN TRUE,63,7,5,12,.63,.07,.71,.13,.73)
 (INFOGAIN-PRISM INFOGAIN 4 KNN FALSE,13,8,6,60,.88,.32,.91,.47,.76)
 (BSQUARE-PRISM BSQUARE 4 KNN TRUE,70,12,3,2,.14,.04,.40,.06,.39)
 (BSQUARE-PRISM BSQUARE 4 KNN FALSE,4,5,10,68,.93,.71,.87,.81,.49)
 (INFOGAIN-NB INFOGAIN 8 KNN TRUE,62,6,10,9,.60,.14,.47,.23,.70)
 (INFOGAIN-NB INFOGAIN 8 KNN FALSE,9,10,6,62,.86,.40,.91,.55,.70)
 (BSQUARE-NB BSQUARE 8 KNN TRUE,62,8,8,9,.53,.11,.53,.19,.66)
